[2017-01-23 14:40:24] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/admin/index/index/key/ae225f88220e2419d0e8a2d3ec48e5a5c11f7fe4173664b58871b0fdc25290e0/","invalidateInfo":{"tags":["BACKEND_MAINMENU"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:52:28] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/9/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:52:28] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/9/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:52:59] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/10/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/back/edit","invalidateInfo":{"tags":["catalog_product_10"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:52:59] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/10/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/back/edit","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:53:53] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/10/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_10"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:53:53] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/10/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:53:54] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/10/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:53:54] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/10/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:53:56] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/1/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product_1"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:53:56] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/1/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:53:57] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/1/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product_"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:53:57] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/1/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:53:57] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/1/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product_12"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:53:57] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/1/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:54:44] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/11/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_11"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:54:44] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/11/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:54:54] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/12/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product_12"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:55:16] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/12/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:55:16] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/11/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:55:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/11/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:55:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/12/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product_"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:55:20] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/12/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:56:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/13/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_13"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:56:30] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/13/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:56:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/13/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:56:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/13/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:56:47] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/14/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product_14"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:56:47] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/14/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:56:50] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/14/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product_"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:56:50] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/14/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:57:22] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/15/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_15"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:57:22] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/15/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:57:57] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/15/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:57:57] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/15/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:57:58] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/16/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product_16"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:57:58] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/16/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:58:02] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/16/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product_"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:58:03] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/16/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:58:54] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/17/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_17"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:58:54] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/17/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:59:09] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/18/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product_18"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:59:16] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/18/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:59:16] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/17/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product_"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:59:19] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/17/type/simple/store/0/set/4/key/7cd09834a023794a6bb9636a01ee4c1cf4e80aa3f456ddbbc523ec04212b7166/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:59:19] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/18/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product_"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 14:59:19] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/catalog/product/save/id/18/type/simple/store/0/set/4/key/700aef19975e2e7441946d90c5f5903e8c46938828dcc1520082870706f96de5/","invalidateInfo":{"tags":["catalog_product"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 15:00:28] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/admin/system_config/save/section/catalog/key/4f28911b826aafb5f11f8dd493d8078a1d1f0a161243cfdb6a3fad9c1531695f/","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 15:00:28] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/admin/system_config/save/section/catalog/key/4f28911b826aafb5f11f8dd493d8078a1d1f0a161243cfdb6a3fad9c1531695f/","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 15:00:28] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/admin/system_config/save/section/catalog/key/4f28911b826aafb5f11f8dd493d8078a1d1f0a161243cfdb6a3fad9c1531695f/","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 15:00:28] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/admin/system_config/save/section/catalog/key/4f28911b826aafb5f11f8dd493d8078a1d1f0a161243cfdb6a3fad9c1531695f/","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 15:00:28] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/admin/system_config/save/section/catalog/key/4f28911b826aafb5f11f8dd493d8078a1d1f0a161243cfdb6a3fad9c1531695f/","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
[2017-01-23 15:00:28] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://magento.webskitters.com/agedcareandmedical/admin/admin/system_config/save/section/catalog/key/4f28911b826aafb5f11f8dd493d8078a1d1f0a161243cfdb6a3fad9c1531695f/","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"},"is_exception":false} []
